,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,th_ts_2_rel,th_d_ts_2_rel
779,7.78,0.0,0.0,0.0,0.0,0.16768813792514753,0.020509659514226248,0.15074054599114953,1.05381454239301,-1.6258160199518932,-1.7267519213671123,-0.10093590141521913,-0.14717847841092127
780,7.79,0.0,0.0,0.0,0.0,0.16913009945333013,0.03115039156916244,0.13766464891746377,1.074159680062,-1.6241318198092574,-1.726493790624872,-0.10236197081561471,-0.1379797078841677
781,7.8,0.0,0.0,0.0,0.0,0.1704417112820397,0.041989341747373336,0.12467284445292576,1.0934515177073536,-1.6224338525004405,-1.7261282526948538,-0.10369440019441334,-0.12845236953466635
782,7.8100000000000005,0.0,0.0,0.0,0.0,0.1716238810885482,0.053015779842374273,0.11177844163820988,1.111650846395611,-1.6207234170949474,-1.72565337872016,-0.10492996162521262,-0.11860810124617394
783,7.82,0.0,0.0,0.0,0.0,0.17267764839375405,0.0642185905984355,0.09899449910884432,1.128719872077371,-1.6190018029242064,-1.7250673490829933,-0.10606554615878694,-0.10845905779531854
784,7.83,0.0,0.0,0.0,0.0,0.17360418202763325,0.07558628806023412,0.08633381909082191,1.1446222552342706,-1.6172702882757541,-1.7243684571837314,-0.10709816890797731,-0.09801789396739913
785,7.84,0.0,0.0,0.0,0.0,0.17440477753727676,0.08710703030396658,0.07380894189971847,1.1593231475693098,-1.6155301391130605,-1.723555113074573,-0.10802497396151245,-0.08729774723331019
786,7.8500000000000005,0.0,0.0,0.0,0.0,0.17508085454186112,0.0987686345217067,0.061432140804635,1.1727892260114094,-1.6137826078215383,-1.722625846944084,-0.1088432391225458,-0.07631222002015442
787,7.86,0.0,0.0,0.0,0.0,0.1756339540374894,0.11055859243357753,0.049215417114398016,1.1849887243246477,-1.6120289319812582,-1.7215793124492422,-0.10955038046798406,-0.06507536160391188
788,7.87,0.0,0.0,0.0,0.0,0.17606573565340367,0.1224640860053179,0.037170495341363956,1.1958914626278478,-1.6102703331668577,-1.7204142898918136,-0.11014395672495582,-0.05360164964808577
